iter	Passed	Remaining
646	3641	1986
647	3646	1980
648	3651	1975
649	3656	1969
650	3661	1963
651	3667	1957
652	3673	1951
653	3678	1945
654	3682	1939
655	3688	1933
656	3693	1928
657	3698	1922
658	3703	1916
659	3709	1910
660	3714	1904
661	3719	1899
662	3724	1893
663	3729	1887
664	3735	1881
665	3739	1875
666	3745	1869
667	3750	1863
668	3755	1858
669	3760	1852
670	3766	1846
671	3771	1840
672	3776	1835
673	3782	1829
674	3787	1823
675	3793	1818
676	3798	1812
677	3803	1806
678	3808	1800
679	3813	1794
680	3819	1789
681	3824	1783
682	3830	1777
683	3835	1772
684	3841	1766
685	3846	1760
686	3851	1754
687	3856	1748
688	3861	1742
689	3866	1737
690	3871	1731
691	3876	1725
692	3881	1719
693	3887	1714
694	3893	1708
695	3899	1703
696	3905	1697
697	3911	1692
698	3917	1686
699	3923	1681
700	3928	1675
701	3934	1670
702	3938	1664
703	3944	1658
704	3949	1652
705	3955	1647
706	3960	1641
707	3965	1635
708	3971	1629
709	3976	1624
710	3981	1618
711	3985	1612
712	3991	1606
713	3996	1601
714	4002	1595
715	4007	1589
716	4012	1583
717	4018	1578
718	4022	1572
719	4028	1566
720	4033	1560
721	4038	1554
722	4042	1548
723	4048	1543
724	4052	1537
725	4058	1531
726	4064	1526
727	4068	1520
728	4073	1514
729	4079	1508
730	4084	1503
731	4088	1496
732	4093	1491
733	4099	1485
734	4104	1479
735	4109	1474
736	4114	1468
737	4119	1462
738	4124	1456
739	4130	1451
740	4134	1445
741	4140	1439
742	4145	1433
743	4150	1428
744	4155	1422
745	4160	1416
746	4166	1411
747	4171	1405
748	4176	1399
749	4183	1394
750	4188	1388
751	4193	1383
752	4199	1377
753	4204	1371
754	4210	1366
755	4214	1360
756	4220	1354
757	4225	1348
758	4230	1343
759	4235	1337
760	4240	1331
761	4246	1326
762	4251	1320
763	4256	1314
764	4262	1309
765	4267	1303
766	4271	1297
767	4277	1292
768	4281	1286
769	4287	1280
770	4292	1274
771	4297	1269
772	4302	1263
773	4308	1257
774	4312	1252
775	4317	1246
776	4321	1240
777	4326	1234
778	4332	1228
779	4337	1223
780	4342	1217
781	4347	1212
782	4352	1206
783	4358	1200
784	4363	1195
785	4369	1189
786	4374	1183
787	4379	1178
788	4383	1172
789	4388	1166
790	4393	1160
791	4398	1155
792	4403	1149
793	4409	1143
794	4414	1138
795	4418	1132
796	4424	1126
797	4430	1121
798	4434	1115
799	4440	1110
800	4445	1104
801	4450	1098
802	4455	1093
803	4460	1087
804	4465	1081
805	4471	1076
806	4475	1070
807	4481	1064
808	4486	1059
809	4490	1053
810	4495	1047
811	4500	1041
812	4505	1036
813	4509	1030
814	4515	1025
815	4521	1019
816	4526	1013
817	4531	1008
818	4536	1002
819	4541	997
820	4547	991
821	4552	985
822	4557	980
823	4562	974
824	4567	968
825	4572	963
826	4577	957
827	4583	952
828	4589	946
829	4594	941
830	4600	935
